char.no,Category,name,states,Martin's.notes,neomorphic.transformational,larval.adult,body.region
216,Glands,Paired pharyngeal diverticulae,0=absent; 1=present,,neomorphic,Adult,Feeding.and.Digestion
217,Nervous system,Orthogonal,0=not orthogonal; 1=orthogonal,Character 14 in @Haszprunar1996. Paired longitudinal nerve cords regularly interconnected by transversal commissures to form a rectangular pattern.,neomorphic,Adult,Sensory
218,Nervous system,Glial system,0=absent; 1=present,Character 16 in @Haszprunar1996.  The Gliointerstitial system interconnects the nervous and muscle systems.,neomorphic,Adult,Sensory
219,Nervous system,Buccal nerve ring,0=absent; 1=present,Character 7b in @Haszprunar2008,neomorphic,Adult,Sensory
220,Nervous system,Anterior nerve loop,0=absent; 1=present,"Character 7c in @Haszprunar2008.  A pre-oral nerve loop is present in molluscs, Loxosomella and certain annelids [@Wanninger2007].",neomorphic,Adult,Sensory
221,Nervous system,Formation of ganglia,1=from cerebral region; 2=in situ; 3=invagination of epithelium,Character 1.22 in @SPS1996,transformational,Adult,Sensory
222,Nervous system,Cerebral ganglia: Presence,0=absent; 1=present,After character 13 in @Haszprunar1996.,neomorphic,Adult,Sensory
223,Nervous system,Cerebral ganglia: Fused,"1=pair of distinct ganglia; 2=single ganglion, or fused ganglia",After character 13 in @Haszprunar1996.,transformational,Adult,Sensory
224,Nervous system,Nerve cords,1=Ventral nerve cords only; 2=Tetraneury: one pair of ventral and one pair of lateral nerve cords,See character 7 in @Haszprunar2008.,transformational,Adult,Sensory
225,Nervous system,Ventral longitudinal nerves,0=separate; 1=paired or secondarily fused,Character 80 in @Glenner2004; see also character 6 in @Vinther2008.,neomorphic,Adult,Sensory
